127.0.0.1 - - [17/Jun/2018:21:54:44 +0200] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:23:34 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:23:39 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:23:44 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:23:50 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:23:55 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:24:00 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:24:05 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:24:10 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:24:15 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:24:20 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [17/Jun/2018:22:24:26 +0200] "POST /cardioSHARE/query HTTP/1.1" 200 172
